,nuts,original_code,original_name,eurocrops,source,4o,hermes
93,be2,8515,Witloof (voor het loof) - industrie,Witloof (forcerie) - industrie,gpt-4o,Witloof (forcerie) - industrie,
94,be2,856,Andere kruiden -  industri=le verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
95,be2,856,Andere kruiden -  industridle verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
96,be2,856,Andere kruiden -  industrie,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
97,be2,856,Andere kruiden -  industriele verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
98,be2,856,Andere kruiden -  industriile verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
99,be2,856,Andere kruiden -  industrille verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
100,be2,856,Andere kruiden -  industrimle verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
101,be2,856,Andere kruiden -  industrinle verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
102,be2,856,Andere kruiden -  industriole verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
103,be2,856,Andere kruiden -  industriple verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
104,be2,856,Andere kruiden -  industrisle verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
105,be2,856,Andere kruiden -  industritle verwerking,Andere kruiden -  industriële verwerking,gpt-4o,Andere kruiden -  industriële verwerking,
106,be2,856,Andere kruiden -  industriële verwerking,Andere kruiden -  industriële verwerking,original_name,Andere kruiden -  industriële verwerking,
107,be2,859,Peterselie - industri le verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
108,be2,859,Peterselie - industrie,Peterselie - industrie,original_name,Peterselie - industriële verwerking,
109,be2,859,Peterselie - industriele verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
110,be2,859,Peterselie - industriile verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
111,be2,859,Peterselie - industrirle verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
112,be2,859,Peterselie - industrisle verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
113,be2,859,Peterselie - industrivle verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
114,be2,859,Peterselie - industriële verwerking,Peterselie - industrie,manual,Peterselie - industriële verwerking,
115,be2,860,Kervel - industri le verwerking,Kervel - industrie,manual,Kervel - industriële verwerking,
116,be2,860,Kervel - industrie,Kervel - industrie,original_name,Kervel - industriële verwerking,
117,be2,860,Kervel - industriële verwerking,Kervel - industrie,manual,Kervel - industriële verwerking,
118,be2,863,Wortelpeterselie - industrie,Wortelpeterselie - industrie,original_name,Wortelpeterselie - industriële verwerking,
119,be2,863,Wortelpeterselie - industriële verwerking,Wortelpeterselie - industrie,manual,Wortelpeterselie - industriële verwerking,
120,be2,864,Basilicum - industri le verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
121,be2,864,Basilicum - industrie,Basilicum - industrie,original_name,Basilicum - industriële verwerking,
122,be2,864,Basilicum - industrille verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
123,be2,864,Basilicum - industriole verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
124,be2,864,Basilicum - industrisle verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
125,be2,864,Basilicum - industritle verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
126,be2,864,Basilicum - industriule verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
127,be2,864,Basilicum - industriële verwerking,Basilicum - industrie,manual,Basilicum - industriële verwerking,
128,be2,865,Bieslook - industrie,Bieslook - industrie,original_name,Bieslook - industriële verwerking,
129,be2,865,Bieslook - industrille verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
130,be2,865,Bieslook - industrinle verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
131,be2,865,Bieslook - industrirle verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
132,be2,865,Bieslook - industriule verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
133,be2,865,Bieslook - industrivle verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
134,be2,865,Bieslook - industriële verwerking,Bieslook - industrie,manual,Bieslook - industriële verwerking,
135,be2,872,Andere hennep dan vezelhennep,Andere hennep dan vezelhennep (niet voor menselijke consumptie),gpt-4o,Andere hennep dan vezelhennep (niet voor menselijke consumptie),
136,be2,872,Andere hennep dan vezelhennep (niet voor menselijke consumptie),Andere hennep dan vezelhennep (niet voor menselijke consumptie),original_name,Andere hennep dan vezelhennep (niet voor menselijke consumptie),
137,be2,882,Mariadistel,"Olifantegras, mariadistel",gpt-4o,"Olifantegras, mariadistel",
138,be2,882,"Olifantegras, mariadistel","Olifantegras, mariadistel",original_name,"Olifantegras, mariadistel",
139,be2,894,Andere bebossing,Andere bebossing,original_name,Bebossing met contract voor 2008,
140,be2,894,Bebossing met contract voor 2008,Andere bebossing,manual,Bebossing met contract voor 2008,
141,be2,901,Aardappelen (geplande oogst vanaf 1/9),Aardappelen (geplande oogst vanaf 1/9),original_name,Aardappelen (geplande oogst vanaf 1/9),
142,be2,901,Aardappelen (niet-vroege),Aardappelen (geplande oogst vanaf 1/9),gpt-4o,Aardappelen (geplande oogst vanaf 1/9),
143,be2,904,Aardappelen (geplande oogst voor 1/9),Aardappelen (geplande oogst voor 1/9),original_name,"Aardappelen (vroege, rooi na 19/6)",
144,be2,904,"Aardappelen (vroege, rooi na 19/6)",Aardappelen (geplande oogst voor 1/9),manual,"Aardappelen (vroege, rooi na 19/6)",
145,be2,932,Tuin- en veldbonen (Vicia faba) - vers,Tuin- en veldbonen (Vicia faba) - vers,original_name,Tuin- en veldbonen (Vicia faba) - vers,
146,be2,932,Tuin- en veldbonen (andere dan droog geoogst) - vers,Tuin- en veldbonen (Vicia faba) - vers,gpt-4o,Tuin- en veldbonen (Vicia faba) - vers,
147,be2,94,Snijbonen - vers,Snijbonen - vers,original_name,Stambonen (bvb. bruine bonen) - vers,
148,be2,94,Stambonen (bvb. bruine bonen) - vers,Snijbonen - vers,manual,Stambonen (bvb. bruine bonen) - vers,
149,be2,9410,Stamslabonen - vers,Stamslabonen/sperziebonen - vers,nous-hermes-2-mixtral-8x7b-dpo,,Stamslabonen/sperziebonen - vers
150,be2,9410,Stamslabonen/sperziebonen - vers,Stamslabonen/sperziebonen - vers,original_name,,Stamslabonen/sperziebonen - vers
151,be2,9456,Butternut-pompoen - vers,Butternutpompoenen - vers,gpt-4o,Butternutpompoenen - vers,
152,be2,9456,Butternutpompoenen - vers,Butternutpompoenen - vers,original_name,Butternutpompoenen - vers,
153,be2,9512,Spruitkolen - vers,Spruitkool - vers,gpt-4o,Spruitkool - vers,
154,be2,9512,Spruitkool - vers,Spruitkool - vers,original_name,Spruitkool - vers,
155,be2,9515,Witloof (forcerie) - vers,Witloof (forcerie) - vers,original_name,Witloof (forcerie) - vers,
156,be2,9515,Witloof (voor het loof) - vers,Witloof (forcerie) - vers,gpt-4o,Witloof (forcerie) - vers,
157,be2,9525,Broccoli - vers,Broccoli - vers,original_name,Broccoli - vers,
158,be2,9525,Brocolli - vers,Broccoli - vers,gpt-4o,Broccoli - vers,
159,be2,954,Andere niet-houtachtige sierplanten,Andere niet-houtachtige sierplanten,original_name,Andere niet-houtachtige sierplanten,
160,be2,954,Andere sierplanten,Andere niet-houtachtige sierplanten,gpt-4o,Andere niet-houtachtige sierplanten,
161,be2,9545,Raketsla - Rucola - vers,Raketsla - Rucola - vers,original_name,Raketsla - Rucola - vers,
162,be2,9545,Raketsla - vers,Raketsla - Rucola - vers,gpt-4o,Raketsla - Rucola - vers,
163,be2,9547,Chrysanten,Potchrysanten,manual,Chrysanten,
164,be2,9547,Potchrysanten,Potchrysanten,original_name,Chrysanten,
165,be2,9560,Boomkweek - bos- en haagplanten,Boomkweek - bos- en haagplanten,original_name,Boomkweek - bos- en haagplanten,
166,be2,9560,Boomkweek - bosplanten,Boomkweek - bos- en haagplanten,gpt-4o,Boomkweek - bos- en haagplanten,
167,be2,9561,Witloof (voor de wortel) - vers,Witloof (voor de wortel) - vers,original_name,Witloof (voor de wortel) - vers,
168,be2,9561,Witloofwortel,Witloof (voor de wortel) - vers,gpt-4o,Witloof (voor de wortel) - vers,
169,be2,9568,Plantgoed en teeltmateriaal van vlinderbloemige groenten,Plantgoed en teeltmateriaal van vlinderbloemige groenten,original_name,Plantgoed en teeltmateriaal van vlinderbloemige groenten,
170,be2,9568,Plantgoed van vlinderbloemige groenten,Plantgoed en teeltmateriaal van vlinderbloemige groenten,gpt-4o,Plantgoed en teeltmateriaal van vlinderbloemige groenten,
171,be2,9569,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,original_name,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,
172,be2,9569,Plantgoed van niet-vlinderbloemige groenten,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,gpt-4o,Plantgoed en teeltmateriaal van niet-vlinderbloemige groenten,
173,be2,9572,Bloembollen en -knollen,Bloembollen en -knollen,original_name,"Bloembollen en -knollen, andere dan begonia",
174,be2,9572,"Bloembollen en -knollen, andere dan begonia",Bloembollen en -knollen,manual,"Bloembollen en -knollen, andere dan begonia",
175,be2,9574,Bloeiende kamerplanten (kalancho,"Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
176,be2,9574,"Bloeiende kamerplanten (kalancho , ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
177,be2,9574,"Bloeiende kamerplanten (kalancho-, ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
178,be2,9574,"Bloeiende kamerplanten (kalancho6, ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
179,be2,9574,"Bloeiende kamerplanten (kalanchoe, ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
180,be2,9574,"Bloeiende kamerplanten (kalanchor, ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
181,be2,9574,"Bloeiende kamerplanten (kalanchoë, ...)","Bloeiende kamerplanten (kalanchoë, ...)",original_name,"Bloeiende kamerplanten (kalanchoe, ...)",
182,be2,9574,"Bloeiende kamerplanten (kalancho‰, ...)","Bloeiende kamerplanten (kalanchoë, ...)",manual,"Bloeiende kamerplanten (kalanchoe, ...)",
183,be2,9575,Snijplanten,Snijplanten < 5 jaar,gpt-4o,Snijplanten < 5 jaar,
184,be2,9575,Snijplanten < 5 jaar,Snijplanten < 5 jaar,original_name,Snijplanten < 5 jaar,
185,be2,9577,Snijbloemen - andere dan rozen,Snijbloemen andere dan rozen < 5 jaar,manual,Snijbloemen - andere dan rozen,
186,be2,9577,Snijbloemen andere dan rozen < 5 jaar,Snijbloemen andere dan rozen < 5 jaar,original_name,Snijbloemen - andere dan rozen,
187,be2,9581,Laanbomen,Laanbomen,original_name,Sierbomen en -struiken,
188,be2,9581,Sierbomen en -struiken,Laanbomen,manual,Sierbomen en -struiken,
189,be2,9583,Bloeiende heesters,Bloeiende heesters,original_name,Winterbloeiende halfheesters,
190,be2,9583,Winterbloeiende halfheesters,Bloeiende heesters,manual,Winterbloeiende halfheesters,
191,be2,9602,Boomkweek - fruitkweek,Boomkweek - fruitkweek,original_name,Boomkweek - fruitplanten,
192,be2,9602,Boomkweek - fruitplanten,Boomkweek - fruitkweek,manual,Boomkweek - fruitplanten,
193,be2,9823,Weiland met bomen (> 50 bomen per ha),Weiland met niet-oogstbare bomen (> 100 bomen per ha),gpt-4o,Weiland met niet-oogstbare bomen (> 100 bomen per ha),
194,be2,9823,Weiland met niet-oogstbare bomen (> 100 bomen per ha),Weiland met niet-oogstbare bomen (> 100 bomen per ha),original_name,Weiland met niet-oogstbare bomen (> 100 bomen per ha),
195,be2,983,Engelwortel - industri,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
196,be2,983,Engelwortel - industrie,Engelwortel - industrie,original_name,Engelwortel - industriële verwerking,
197,be2,983,Engelwortel - industriele verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
198,be2,983,Engelwortel - industrigle verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
199,be2,983,Engelwortel - industriile verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
200,be2,983,Engelwortel - industrinle verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
201,be2,983,Engelwortel - industrirle verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
202,be2,983,Engelwortel - industritle verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
203,be2,983,Engelwortel - industriële verwerking,Engelwortel - industrie,manual,Engelwortel - industriële verwerking,
204,be3,311,Froment d'hiver,Froment d'hiver,original_name,,
205,be3,311,Froment d?'hiver,Froment d'hiver,manual,,
206,be3,311,Froment d’hiver,Froment d'hiver,manual,,
207,be3,321,Orge d'hiver,Orge d'hiver,original_name,,
208,be3,321,Orge d?'hiver,Orge d'hiver,manual,,
209,be3,321,Orge d’hiver,Orge d'hiver,manual,,
210,be3,331,Seigle d'hiver,Seigle d'hiver,original_name,,
211,be3,331,Seigle d?'hiver,Seigle d'hiver,manual,,
212,be3,331,Seigle d’hiver,Seigle d'hiver,manual,,
213,be3,36,Epeautre,Epeautre d'hiver,gpt-4o,Epeautre d'hiver,
214,be3,36,Epeautre d'hiver,Epeautre d'hiver,original_name,Epeautre d'hiver,
215,be3,39,Céréales ET légumineuses,Céréales et légumineuses,gpt-4o,Céréales et légumineuses,
216,be3,39,Céréales et légumineuses,Céréales et légumineuses,original_name,Céréales et légumineuses,
217,be3,4111,Colza d'hiver,Colza d'hiver,original_name,,
218,be3,4111,Colza d?'hiver,Colza d'hiver,manual,,
219,be3,4111,Colza d’hiver,Colza d'hiver,manual,,
220,be3,4112,Navette d'hiver (graines),Navette d'hiver (graines),original_name,,
221,be3,4112,Navette d’hiver (graines),Navette d'hiver (graines),manual,,
222,be3,511,Pois protéagineux d'?hiver,Pois protéagineux d'hiver,manual,,
223,be3,511,Pois protéagineux d'hiver,Pois protéagineux d'hiver,original_name,,
224,be3,511,Pois protéagineux d’hiver,Pois protéagineux d'hiver,manual,,
225,be3,541,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou autres espèces,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou autres espèces,original_name,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou de graminées,
226,be3,541,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou de graminées,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou autres espèces,manual,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou de graminées,
227,be3,541,Mélange protéagineux d'hiver + céréales ou autres espèces,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou autres espèces,manual,Mélange d'hiver de légumineuses prépondérantes  (plus de 50%) et de céréales ou de graminées,
228,be3,542,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,original_name,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,
229,be3,542,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou ou de graminées,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,gpt-4o,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,
230,be3,542,Mélange protéagineux de printemps + céréales ou autres espèces,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,gpt-4o,Mélange de printemps de légumineuses prépondérantes  (plus de 50%) et  de céréales ou autres espèces,
231,be3,812,Jachère non herbacée,Jachère non herbacée,original_name,Jachère non herbacée,
232,be3,812,jachère non herbacée,Jachère non herbacée,gpt-4o,Jachère non herbacée,
233,be3,831,Pois (autres que récoltés secs) (transformation industrielle),Pois (autres que récoltés secs) (transformation industrielle),original_name,,
234,be3,831,Pois (autres que récoltés secs) pour l’industrie,Pois (autres que récoltés secs) (transformation industrielle),manual,,
235,be3,8410,Haricots verts (transformation industrielle),Haricots verts (transformation industrielle),original_name,,
236,be3,8410,Haricots verts pour l’industrie,Haricots verts (transformation industrielle),manual,,
237,be3,8456,Courges butternut (transformation industrielle),Courges butternut (transformation industrielle),original_name,,
238,be3,8456,Courges butternut pour l’industrie,Courges butternut (transformation industrielle),manual,,
